split_scheme,model,fold,endpoint,seconds,n_train,n_test
murcko_scaffold,ecfp4_lightgbm,3,CYP2D6_is_TDI,0.368584082000325,1467,30
murcko_scaffold,endpoint_mean,4,CYP1A2_pIC50_direct_inhibition,0.0019886800000676885,1368,44
murcko_scaffold,endpoint_median,4,CYP1A2_pIC50_direct_inhibition,0.0011054080000576505,1368,44
murcko_scaffold,ecfp4_knn,4,CYP1A2_pIC50_direct_inhibition,0.014305103999959101,1368,44
murcko_scaffold,ecfp4_random_forest,4,CYP1A2_pIC50_direct_inhibition,0.9515936150000925,1368,44
murcko_scaffold,ecfp4_lightgbm,4,CYP1A2_pIC50_direct_inhibition,0.4558759890001056,1368,44
murcko_scaffold,endpoint_mean,4,CYP2C9_pIC50_direct_inhibition,0.001836531000208197,1255,30
murcko_scaffold,endpoint_median,4,CYP2C9_pIC50_direct_inhibition,0.0005227389997344289,1255,30
murcko_scaffold,ecfp4_knn,4,CYP2C9_pIC50_direct_inhibition,0.008878525999989506,1255,30
murcko_scaffold,ecfp4_random_forest,4,CYP2C9_pIC50_direct_inhibition,0.9320671390000825,1255,30
murcko_scaffold,ecfp4_lightgbm,4,CYP2C9_pIC50_direct_inhibition,0.6188833320002232,1255,30
murcko_scaffold,endpoint_mean,4,CYP2D6_pIC50_direct_inhibition,0.0017497499998171406,1454,39
murcko_scaffold,endpoint_median,4,CYP2D6_pIC50_direct_inhibition,0.0005055830001765571,1454,39
murcko_scaffold,ecfp4_knn,4,CYP2D6_pIC50_direct_inhibition,0.03598934100000406,1454,39
